feature,importance_mean,importance_std,sample_size,scoring
open_pr_num,0.025181181702142497,0.0018766878025285787,35000,validation_not_merged_f1_drop
fork_num,0.02005602639056462,0.0013546628961689318,35000,validation_not_merged_f1_drop
open_issue_num,0.016468119606485265,0.0019910146085550385,35000,validation_not_merged_f1_drop
account_creation_days,0.016294719679537707,0.0009472717476649696,35000,validation_not_merged_f1_drop
followers,0.013540540948532664,0.0006376063579050311,35000,validation_not_merged_f1_drop
project_age,0.01241220434369642,0.001796445844013423,35000,validation_not_merged_f1_drop
sloc,0.01232228134839648,0.0008880000014216008,35000,validation_not_merged_f1_drop
test_lines_per_kloc,0.012303643849083524,0.0013802001170324916,35000,validation_not_merged_f1_drop
ci_exists,0.012125340044188892,0.0008156435230814815,35000,validation_not_merged_f1_drop
contrib_perc_commit,0.011182710404217911,0.004078790762969268,35000,validation_not_merged_f1_drop
test_cases_per_kloc,0.009862386089598652,0.0006911593330926031,35000,validation_not_merged_f1_drop
stars,0.009784228646462046,0.0021486184529008866,35000,validation_not_merged_f1_drop
asserts_per_kloc,0.009379387821126173,0.00038358187246746934,35000,validation_not_merged_f1_drop
prev_pullreqs,0.008848404253386954,0.0021735663008371157,35000,validation_not_merged_f1_drop
team_size,0.008624485554131978,0.000990149705542451,35000,validation_not_merged_f1_drop
language,0.00804983794531321,0.0009959931124997345,35000,validation_not_merged_f1_drop
churn_addition,0.0067346170485203085,0.0009784459436210382,35000,validation_not_merged_f1_drop
perc_external_contribs,0.006722093053957967,0.0011881047310765586,35000,validation_not_merged_f1_drop
core_member,0.0034877932751159247,0.0012807676536944505,35000,validation_not_merged_f1_drop
prior_interaction,0.0033154687587171883,0.0007981593039864895,35000,validation_not_merged_f1_drop
description_length,0.0026578108827125637,0.001255376230922578,35000,validation_not_merged_f1_drop
first_pr,0.0016065625233307012,0.00015463127033552593,35000,validation_not_merged_f1_drop
churn_deletion,0.0013190994786509759,0.0008575786221378663,35000,validation_not_merged_f1_drop
test_inclusion,0.00045528636339622344,0.00021477113836066951,35000,validation_not_merged_f1_drop
friday_effect,-2.0217447597969952e-05,5.2721035907322945e-05,35000,validation_not_merged_f1_drop
