feature,stage,included_in_t2,excluded_from_early_reason,late_stage_rationale
num_comments,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
has_comments,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
num_participants,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
core_comment,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
contrib_comment,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
inte_comment,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
has_exchange,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
at_tag,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
num_code_comments,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
num_code_comments_con,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
perc_neg_emotion,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
perc_pos_emotion,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
comment_conflict,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
contrib_open,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
contrib_cons,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
contrib_extra,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
contrib_agree,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
contrib_neur,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
inte_open,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
inte_cons,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
inte_extra,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
inte_agree,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
inte_neur,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
perc_contrib_pos_emo,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
perc_contrib_neg_emo,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
perc_inte_pos_emo,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
perc_inte_neg_emo,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
social_strength,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
same_user,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
ci_build_num,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
ci_failed_perc,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
integrator_availability,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
prior_review_num,T2_review_process,True,"This field can encode review discussion, participant behavior, CI progress, or reviewer/integrator context that is unavailable at PR creation.",Used only to estimate the extra signal available after review starts.
